Record Length,700
Sample Interval,0.000016
Trig Position,10239
Data Interval,0.000100
Vertical Units,V
Vertical Scale,CH1:0.500000,CH2:0.500000
Vertival Offset,CH1:0.000000,CH2:0.000000
Horizontal Units,ms
Horizontal Scale,0.005000
Horizontal Position,0.000000
Model Number,GA1042CAL
Serial Number,110000S1505052412
Software Version,2.01
Source,CH1,CH2
No.,Volt,Volt
1,-0.100000,0.600000
2,-0.180000,0.560000
3,-0.260000,0.500000
4,-0.360000,0.440000
5,-0.440000,0.400000
6,-0.520000,0.340000
7,-0.620000,0.300000
8,-0.700000,0.240000
9,-0.800000,0.160000
10,-0.860000,0.120000
11,-0.920000,0.060000
12,-1.020000,-0.020000
13,-1.060000,-0.060000
14,-1.120000,-0.140000
15,-1.180000,-0.180000
16,-1.240000,-0.260000
17,-1.300000,-0.300000
18,-1.340000,-0.360000
19,-1.380000,-0.400000
20,-1.420000,-0.460000
21,-1.460000,-0.520000
22,-1.480000,-0.580000
23,-1.500000,-0.620000
24,-1.520000,-0.660000
25,-1.520000,-0.700000
26,-1.520000,-0.740000
27,-1.520000,-0.780000
28,-1.520000,-0.820000
29,-1.500000,-0.840000
30,-1.480000,-0.880000
31,-1.460000,-0.900000
32,-1.440000,-0.920000
33,-1.380000,-0.920000
34,-1.340000,-0.940000
35,-1.280000,-0.960000
36,-1.220000,-0.960000
37,-1.140000,-0.960000
38,-1.080000,-0.960000
39,-1.020000,-0.960000
40,-0.940000,-0.980000
41,-0.860000,-0.940000
42,-0.780000,-0.940000
43,-0.700000,-0.920000
44,-0.620000,-0.900000
45,-0.520000,-0.860000
46,-0.420000,-0.820000
47,-0.340000,-0.820000
48,-0.260000,-0.780000
49,-0.160000,-0.720000
50,-0.080000,-0.700000
51,0.020000,-0.660000
52,0.100000,-0.620000
53,0.200000,-0.560000
54,0.300000,-0.500000
55,0.360000,-0.460000
56,0.460000,-0.400000
57,0.560000,-0.340000
58,0.640000,-0.280000
59,0.720000,-0.220000
60,0.800000,-0.160000
61,0.880000,-0.120000
62,0.960000,-0.040000
63,1.020000,0.000000
64,1.080000,0.060000
65,1.140000,0.140000
66,1.200000,0.200000
67,1.260000,0.240000
68,1.300000,0.300000
69,1.360000,0.360000
70,1.400000,0.420000
71,1.440000,0.460000
72,1.440000,0.520000
73,1.460000,0.560000
74,1.500000,0.620000
75,1.500000,0.660000
76,1.500000,0.680000
77,1.500000,0.740000
78,1.500000,0.780000
79,1.480000,0.800000
80,1.440000,0.840000
81,1.400000,0.840000
82,1.380000,0.880000
83,1.340000,0.900000
84,1.300000,0.920000
85,1.240000,0.940000
86,1.160000,0.940000
87,1.100000,0.940000
88,1.020000,0.940000
89,0.960000,0.940000
90,0.880000,0.940000
91,0.800000,0.920000
92,0.600000,0.760000
93,0.600000,0.780000
94,0.560000,0.860000
95,0.440000,0.820000
96,0.380000,0.820000
97,0.280000,0.760000
98,0.200000,0.720000
99,0.100000,0.700000
100,0.000000,0.660000
101,-0.080000,0.600000
102,-0.160000,0.560000
103,-0.280000,0.500000
104,-0.360000,0.440000
105,-0.440000,0.400000
106,-0.520000,0.340000
107,-0.620000,0.300000
108,-0.700000,0.220000
109,-0.800000,0.160000
110,-0.860000,0.120000
111,-0.920000,0.060000
112,-1.000000,0.000000
113,-1.080000,-0.080000
114,-1.140000,-0.140000
115,-1.180000,-0.200000
116,-1.240000,-0.260000
117,-1.280000,-0.300000
118,-1.320000,-0.360000
119,-1.440000,-0.480000
120,-1.460000,-0.480000
121,-1.460000,-0.540000
122,-1.480000,-0.560000
123,-1.520000,-0.620000
124,-1.520000,-0.640000
125,-1.520000,-0.700000
126,-1.540000,-0.760000
127,-1.540000,-0.800000
128,-1.520000,-0.800000
129,-1.480000,-0.840000
130,-1.480000,-0.880000
131,-1.460000,-0.900000
132,-1.420000,-0.920000
133,-1.380000,-0.940000
134,-1.320000,-0.940000
135,-1.280000,-0.960000
136,-1.220000,-0.960000
137,-1.160000,-0.960000
138,-1.080000,-0.980000
139,-1.020000,-0.960000
140,-0.940000,-0.960000
141,-0.860000,-0.940000
142,-0.780000,-0.940000
143,-0.680000,-0.920000
144,-0.620000,-0.900000
145,-0.520000,-0.860000
146,-0.420000,-0.840000
147,-0.340000,-0.820000
148,-0.280000,-0.780000
149,-0.180000,-0.720000
150,-0.060000,-0.680000
151,0.020000,-0.640000
152,0.100000,-0.620000
153,0.200000,-0.560000
154,0.300000,-0.500000
155,0.360000,-0.460000
156,0.440000,-0.400000
157,0.540000,-0.340000
158,0.640000,-0.280000
159,0.740000,-0.220000
160,0.800000,-0.180000
161,0.880000,-0.120000
162,0.940000,-0.040000
163,1.020000,0.020000
164,1.060000,0.080000
165,1.140000,0.140000
166,1.200000,0.200000
167,1.260000,0.260000
168,1.300000,0.300000
169,1.360000,0.360000
170,1.380000,0.420000
171,1.420000,0.480000
172,1.440000,0.520000
173,1.480000,0.560000
174,1.500000,0.620000
175,1.500000,0.660000
176,1.500000,0.700000
177,1.480000,0.740000
178,1.500000,0.780000
179,1.480000,0.800000
180,1.460000,0.820000
181,1.440000,0.860000
182,1.380000,0.880000
183,1.340000,0.900000
184,1.280000,0.900000
185,1.240000,0.920000
186,1.160000,0.940000
187,1.100000,0.940000
188,1.040000,0.940000
189,0.960000,0.940000
190,0.880000,0.940000
191,0.800000,0.920000
192,0.720000,0.900000
193,0.640000,0.880000
194,0.540000,0.860000
195,0.460000,0.840000
196,0.360000,0.800000
197,0.300000,0.760000
198,0.200000,0.740000
199,0.100000,0.680000
200,0.020000,0.640000
201,-0.080000,0.580000
202,-0.180000,0.540000
203,-0.260000,0.500000
204,-0.360000,0.440000
205,-0.440000,0.400000
206,-0.540000,0.340000
207,-0.620000,0.280000
208,-0.700000,0.220000
209,-0.780000,0.160000
210,-0.840000,0.120000
211,-0.920000,0.060000
212,-1.000000,-0.020000
213,-1.080000,-0.080000
214,-1.120000,-0.120000
215,-1.180000,-0.200000
216,-1.260000,-0.260000
217,-1.300000,-0.320000
218,-1.340000,-0.360000
219,-1.360000,-0.420000
220,-1.420000,-0.480000
221,-1.440000,-0.520000
222,-1.480000,-0.560000
223,-1.500000,-0.620000
224,-1.520000,-0.660000
225,-1.520000,-0.700000
226,-1.520000,-0.740000
227,-1.520000,-0.780000
228,-1.520000,-0.820000
229,-1.500000,-0.860000
230,-1.480000,-0.860000
231,-1.440000,-0.900000
232,-1.420000,-0.920000
233,-1.380000,-0.940000
234,-1.320000,-0.960000
235,-1.280000,-0.960000
236,-1.220000,-0.960000
237,-1.160000,-0.960000
238,-1.080000,-0.960000
239,-1.020000,-0.960000
240,-0.940000,-0.960000
241,-0.860000,-0.940000
242,-0.760000,-0.920000
243,-0.700000,-0.920000
244,-0.620000,-0.900000
245,-0.520000,-0.860000
246,-0.420000,-0.860000
247,-0.340000,-0.820000
248,-0.260000,-0.780000
249,-0.160000,-0.740000
250,-0.080000,-0.680000
251,0.020000,-0.640000
252,0.100000,-0.620000
253,0.180000,-0.560000
254,0.280000,-0.500000
255,0.380000,-0.440000
256,0.460000,-0.420000
257,0.560000,-0.340000
258,0.640000,-0.280000
259,0.740000,-0.220000
260,0.800000,-0.160000
261,0.860000,-0.100000
262,0.960000,-0.040000
263,1.000000,0.000000
264,1.060000,0.060000
265,1.140000,0.140000
266,1.220000,0.200000
267,1.260000,0.260000
268,1.300000,0.300000
269,1.340000,0.360000
270,1.380000,0.420000
271,1.420000,0.480000
272,1.440000,0.520000
273,1.480000,0.580000
274,1.500000,0.600000
275,1.500000,0.660000
276,1.520000,0.680000
277,1.500000,0.740000
278,1.500000,0.780000
279,1.480000,0.820000
280,1.440000,0.820000
281,1.420000,0.860000
282,1.380000,0.900000
283,1.340000,0.900000
284,1.300000,0.900000
285,1.220000,0.920000
286,1.160000,0.940000
287,1.100000,0.940000
288,1.040000,0.940000
289,0.960000,0.940000
290,0.880000,0.920000
291,0.800000,0.920000
292,0.580000,0.740000
293,0.620000,0.800000
294,0.560000,0.860000
